ROUND,COURSE_FULL_NAME,HRS,PRICE,START_DATE,TIMES,PROG,TYPE,LEVEL,END_DATE,DAYS,COURSE_SHORT_NAME,COURSE_EMAIL_NAME,PROGRAMME_EMAIL,COURSE_BOOK,DEADLINE,LOCATION,ATTENDANCE_COURSE_NAME,CERTIFICATE_NAME,CERTIFICATE_LEVEL,LEVEL_SPEC,ONLINE_ONSITE,DISCOUNT-5pc,DISCOUNT-10pc,REGISTRATION_LINK,SCHEDULE_TYPE,SCHEDULE_NAME
9,B1 INTENSIVE - AUCKLAND - 31.08.2026 - R9,40 hours/4 weeks,640,8/31/2026,12:30-15:00,AUCKLAND,INTENSIVE,B1,9/25/2026,"M,T,Th,F",B1 INTENSIVE,B1 INTENSIVE - 40 hours/4 weeks,B1 AUCKLAND,English File Intermediate 4th Edition (ISBN-13978-0194035910),7/25/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B1_INTE_AUCKL_9,B1 INTENSIVE English Course - 40 hours/4 weeks,B1,B1,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,B1 INTENSIVE,B1 INTENSIVE (R9) starting 31.08.2026
9,B2 INTENSIVE - AUCKLAND - 31.08.2026 - R9,40 hours/4 weeks,640,8/31/2026,15:30-18:00,AUCKLAND,INTENSIVE,B2,9/25/2026,"M,T,Th,F",B2 INTENSIVE,B2 INTENSIVE - 40 hours/4 weeks,B2 AUCKLAND,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),7/25/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B2_INTE_AUCKL_9,B2 INTENSIVE English Course - 40 hours/4 weeks,B2,B2,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,B2 INTENSIVE,B2 INTENSIVE (R9) starting 31.08.2026
10,A2 INTENSIVE - BOSTON - 28.09.2026 - R10,40 hours/4 weeks,640,9/28/2026,15:30-18:00,BOSTON,INTENSIVE,A2,10/23/2026,"M,T,Th,F",A2 INTENSIVE,A2 INTENSIVE - 40 hours/4 weeks,A2 BOSTON,English File Pre-Intermediate 4th Edition (ISBN-13 978-0194037419),8/22/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2_INTE_BOSTO_10,A2 INTENSIVE English Course - 40 hours/4 weeks,A2,A2,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 INTENSIVE,A2 INTENSIVE (R10) starting 28.09.2026
10,B1 INTENSIVE - BOSTON - 28.09.2026 - R10,40 hours/4 weeks,640,9/28/2026,12:30-15:00,BOSTON,INTENSIVE,B1,10/23/2026,"M,T,Th,F",B1 INTENSIVE,B1 INTENSIVE - 40 hours/4 weeks,B1 BOSTON,English File Intermediate 4th Edition (ISBN-13978-0194035910),8/22/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B1_INTE_BOSTO_10,B1 INTENSIVE English Course - 40 hours/4 weeks,B1,B1,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,B1 INTENSIVE,B1 INTENSIVE (R10) starting 28.09.2026
10,B2 INTENSIVE - BOSTON - 28.09.2026 - R10,40 hours/4 weeks,640,9/28/2026,12:30-15:00,BOSTON,INTENSIVE,B2,10/23/2026,"M,T,Th,F",B2 INTENSIVE,B2 INTENSIVE - 40 hours/4 weeks,B2 BOSTON,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),8/22/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B2_INTE_BOSTO_10,B2 INTENSIVE English Course - 40 hours/4 weeks,B2,B2,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,B2 INTENSIVE,B2 INTENSIVE (R10) starting 28.09.2026
7,B2 MORNING - DUBLIN - 28.09.2026 - R7,30 hours/6 weeks,525,9/28/2026,9:30-12:00,DUBLIN,MORNING,B2,11/5/2026,"M,Th",B2 MORNING,B2 MORNING - 30 hours/6 weeks,B2 DUBLIN,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),8/23/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B2_MORN_DUBLI_7,B2 MORNING English Course - 30 hours/6 weeks,B2,B2,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,B2 MORNING,B2 MORNING (R7) starting 28.09.2026
7,A1 BEGINNER - EDMONTON - 28.09.2026 - R7,24 hours/6 weeks,445,9/28/2026,15:30-17:30,EDMONTON,BEGINNER,A1,11/4/2026,"M,W",A1 BEGINNER,A1 BEGINNER - 24 hours/6 weeks,A1 EDMONTON,English File Beginner 4th Edition (ISBN-13 978-0194031608),8/22/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A1_BEGI_EDMON_7,A1 BEGINNER English Course - 24 hours/6 weeks,A1,A1,onsite,422.75,400.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A1 BEGINNER,A1 BEGINNER (R7) starting 28.09.2026
7,A2 ELEM MORNING - DUBLIN - 28.09.2026 - R7,30 hours/6 weeks,525,9/28/2026,9:30-12:00,DUBLIN,MORNING,A2 ELEM,11/4/2026,"M,W",A2 ELEM MORNING,A2 ELEM MORNING - 30 hours/6 weeks,A2 ELEM DUBLIN,English File Elementary Plus 4th Edition (ISBN-13 978-0194032414),8/22/2026,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2 EL_MORN_DUBLI_7,A2 ELEM MORNING English Course - 30 hours/6 weeks,A2 ELEM,A2 ELEM,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 ELEMENTARY,A2 ELEMENTARY (R7) starting 28.09.2026
7,B1 EVE ONLINE - DUBLIN - 28.09.2026 - R7,24 hours/6 weeks,360,9/28/2026,19:00-21:00,DUBLIN,EVE ONLINE,B1,11/4/2026,"M,W",B1 EVE ONLINE,B1 EVE ONLINE - 24 hours/6 weeks,B1 DUBLIN,English File Intermediate 4th Edition (ISBN-13978-0194035910),8/22/2026,ONLINE,B1_EVE _DUBLI_7,B1 EVE ONLINE English Course - 18 hours/6 weeks,B1,B1,online,342,324,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,B1 EVE ONLINE - 28.09.2026 - R7
7,B2 EVE ONLINE - DUBLIN - 28.09.2026 - R7,24 hours/6 weeks,385,9/28/2026,19:00-21:00,DUBLIN,EVE ONLINE,B2,11/4/2026,"M,W",B2 EVE ONLINE,B2 EVE ONLINE - 24 hours/6 weeks,B2 DUBLIN,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),8/22/2026,ONLINE,B2_EVE _DUBLI_7,B2 EVE ONLINE English Course - 24 hours/6 weeks,B2,B2,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,B2 EVE ONLINE - 28.09.2026 - R7
